ArraySize,Mean
1024,1516704620.370274
1497,1501568860.144836
2190,1491253950.251790
3202,1477137678.426898
4684,1474038017.743783
6850,1467644640.443443
10018,1465006583.566282
14650,1463605718.048206
21426,1462105584.646451
31334,1461583988.326898
45825,1460433696.676436
67017,1460234756.538277
98010,1460046379.352443
143335,1459686088.837881
209620,1459367805.628862
306559,1458797449.974053
448328,1458632066.098558
655657,1458659513.131901
958866,1458753022.684457
1402294,1458752141.204686
2050785,1458798816.844284
2999171,1458779574.094884
4386138,1458761948.733556
6414508,1458769833.245930
9380897,1458771971.007304
13719093,1458736725.257552
20063488,1457151364.236073
29341848,1427448973.469569
42910984,1423502190.368696
62755168,1421590140.048390
91776294,1422208899.370902
134218240,1423339561.225843
