ArraySize,AdditionsPerSecond,ActualRuntime
209620,729749467.308871,1176573
209620,730085788.554893,1176031
209620,730001368.853233,1176167
209620,730116209.261706,1175982
209620,729877878.143367,1176366
209620,730041093.339614,1176103
209620,730124901.357860,1175968
209620,730113725.843675,1175986
209620,730111863.291238,1175989
209620,729972198.936588,1176214
209620,729941169.669394,1176264
209620,729725899.213929,1176611
209620,729787923.784818,1176511
209620,729849338.497057,1176412
209620,730093859.107599,1176018
209620,729902076.548443,1176327
209620,729995782.944049,1176176
209620,730037368.985358,1176109
209620,729868571.491719,1176381
209620,729964751.671873,1176226
306559,729714540.089008,1720746
306559,729714964.157966,1720745
306559,729690368.973090,1720803
306559,729631432.087775,1720942
306559,729489005.262369,1721278
306559,729642455.529497,1720916
306559,729717932.654477,1720738
306559,729632280.033005,1720940
306559,729645423.436103,1720909
306559,729710299.426531,1720756
306559,729716660.438730,1720741
306559,729701394.195762,1720777
306559,728758247.804416,1723004
306559,729729382.795833,1720711
306559,729793001.236225,1720561
306559,729631008.115899,1720943
306559,729661535.350413,1720871
306559,729570809.111694,1721085
306559,729674679.807536,1720840
306559,729649663.344566,1720899
448328,729245688.107787,1259076
448328,729501780.501719,1258634
448328,729455995.131535,1258713
448328,728066626.754895,1261115
448328,729519168.856924,1258604
448328,729598006.465003,1258468
448328,729552209.015635,1258547
448328,729427020.018860,1258763
448328,729551629.337935,1258548
448328,729590469.780632,1258481
448328,729541774.957988,1258565
448328,729525544.794862,1258593
448328,729540035.977397,1258568
448328,729559165.219879,1258535
448328,729569020.069637,1258518
448328,729570179.481230,1258516
448328,729292605.610030,1258995
448328,729564382.460116,1258526
448328,729508735.744330,1258622
448328,729548151.291085,1258554
655657,729511169.351027,1840662
655657,729499675.936917,1840691
655657,729481049.448645,1840738
655657,729314642.198008,1841158
655657,729492938.586674,1840708
655657,729218002.369933,1841402
655657,729533364.554935,1840606
655657,729522266.784162,1840634
655657,729540102.651923,1840589
655657,729557146.629315,1840546
655657,729542084.468843,1840584
655657,729538517.206140,1840593
655657,729537328.126324,1840596
655657,729520681.415900,1840638
655657,729544859.030619,1840577
655657,729550804.591206,1840562
655657,729519096.054529,1840642
655657,729548426.355343,1840568
655657,729320584.006783,1841143
655657,729542084.468843,1840584
958866,729487812.978043,1345981
958866,729484561.143607,1345987
958866,729480225.409455,1345995
958866,729224508.287243,1346467
958866,729496484.678279,1345965
958866,729222883.539923,1346470
958866,729511660.649793,1345937
958866,729475347.770140,1346004
958866,729515996.757630,1345929
958866,729500278.611963,1345958
958866,729478599.522436,1345998
958866,729499736.619020,1345959
958866,729397856.251955,1346147
958866,729218550.915797,1346478
958866,729382685.014950,1346175
958866,729504614.584494,1345950
958866,729501362.600263,1345956
958866,729174144.486692,1346560
958866,729502446.591785,1345954
958866,729199596.290567,1346513
1402294,729399547.918138,1968670
1402294,729482179.606563,1968447
1402294,729493668.005137,1968416
1402294,729483291.371256,1968444
1402294,729488109.057417,1968431
1402294,729480326.672939,1968452
1402294,729504044.934230,1968388
1402294,729482920.782648,1968445
1402294,729446975.477282,1968542
1402294,729508121.665717,1968377
1402294,729463650.693905,1968497
1402294,729447346.029369,1968541
1402294,729479214.917283,1968455
1402294,729470691.569832,1968478
1402294,728875291.738533,1970086
1402294,729503303.715219,1968390
1402294,729221008.840354,1969152
