ArraySize,AdditionsPerSecond,ActualRuntime
4684,2959120218.533144,1659794
4684,2959116652.889873,1659796
4684,2958678144.287916,1660042
4684,2959184401.581435,1659758
4684,2958211257.697385,1660304
4684,2959132698.352259,1659787
4684,2959141612.573217,1659782
4684,2958671015.140544,1660046
4684,2958692402.685728,1660034
4684,2959207579.477571,1659745
4684,2959047124.563586,1659835
4684,2959118435.710434,1659795
4684,2959125567.014160,1659791
4684,2959105956.011621,1659802
4684,2959077431.381031,1659818
4684,2895619769.684228,1696193
4684,2947677901.763074,1666237
4684,2896898973.956085,1695444
4684,2958838559.187253,1659952
6850,2946610615.539793,1218459
6850,2901755139.845502,1237294
6850,2946446179.690725,1218527
6850,2945544527.032570,1218900
6850,2946821023.464098,1218372
6850,2946782325.498938,1218388
6850,2946332536.226770,1218574
6850,2946731535.962062,1218409
6850,2946484868.827610,1218511
6850,2946204395.602592,1218627
6850,2946775069.743621,1218391
6850,2946695258.793326,1218424
6850,2946825860.781208,1218370
6850,2946704932.617652,1218420
6850,2946704932.617652,1218420
6850,2946671074.510396,1218434
6850,2946675911.335224,1218432
6850,2946804092.979278,1218379
6850,2946796837.116766,1218382
6850,2946733954.471737,1218408
10018,2937774291.342261,1787499
10018,2937948513.841108,1787393
10018,2937034897.527838,1787949
10018,2937889341.618604,1787429
10018,2937938651.638498,1787399
10018,2937697048.355679,1787546
10018,2937854825.589527,1787450
10018,2937550790.849362,1787635
10018,2937867974.457353,1787442
10018,2937886054.342797,1787431
10018,2937890985.259266,1787428
10018,2937863043.618125,1787445
10018,2936346774.265699,1788368
10018,2937890985.259266,1787428
10018,2936732674.806628,1788133
10018,2937711839.251440,1787537
10018,2937889341.618604,1787429
10018,2937174532.291047,1787864
10018,2936451860.533780,1788304
10018,2907054634.995361,1806388
14650,2930301991.901747,1310406
14650,2931653266.676949,1309802
14650,2913000572.755500,1318189
14650,2912574134.052195,1318382
14650,2931957699.138559,1309666
14650,2931827859.915524,1309724
14650,2931684602.393670,1309788
14650,2930518917.293554,1310309
14650,2930722453.820662,1310218
14650,2931785328.877497,1309743
14650,2930644167.195191,1310253
14650,2931895016.698557,1309694
14650,2931859199.364745,1309710
14650,2931975608.899423,1309658
14650,2931957699.138559,1309666
14650,2931944266.961499,1309672
14650,2930787323.050338,1310189
14650,2931651028.437101,1309803
14650,2931966653.991641,1309662
14650,2931599549.863875,1309826
21426,2923704419.259622,1920910
21426,2928054788.807001,1918056
21426,2926310953.684323,1919199
21426,2927978462.087080,1918106
21426,2927989147.588315,1918099
21426,2927979988.582481,1918105
21426,2927819715.255368,1918210
21426,2927984568.078236,1918102
21426,2928041049.703738,1918065
21426,2928013571.884011,1918083
21426,2928141806.121901,1917999
21426,2928085320.609206,1918036
21426,2928041049.703738,1918065
21426,2927863979.468048,1918181
21426,2926814209.828811,1918869
21426,2924494572.199099,1920391
21426,2928106693.249609,1918022
21426,2926751674.648629,1918910
21426,2928080740.798284,1918039
21426,2928059368.536740,1918053
31334,2924459225.964127,1404276
31334,2924507125.140555,1404253
31334,2924580018.202302,1404218
31334,2924582100.914602,1404217
31334,2923166541.034681,1404897
31334,2924357185.124526,1404325
31334,2924650832.084684,1404184
31334,2924542529.888138,1404236
31334,2924153124.806415,1404423
31334,2924396751.135436,1404306
31334,2924509207.749036,1404252
31334,2920680142.778607,1406093
31334,2924494629.551956,1404259
31334,2924473803.808245,1404269
31334,2924003221.086583,1404495
31334,2924527951.358846,1404243
31334,2924630004.116241,1404194
