ArraySize,AdditionsPerSecond,ActualRuntime
1024,4086094326.231688,1051118
1024,4086172075.296499,1051098
1024,4085177110.659207,1051354
1024,4087058623.806941,1050870
1024,4086525870.902858,1051007
1024,4085200424.597754,1051348
1024,4085923288.703359,1051162
1024,4087241425.054457,1050823
1024,4087719897.211383,1050700
1024,3786904788.817833,1134163
1024,3786704462.878993,1134223
1024,4086339245.805405,1051055
1024,4086156525.246836,1051102
1024,4086626966.615001,1050981
1024,4086875838.910209,1050917
1024,3786901449.878501,1134164
1024,3786854705.346075,1134178
1024,4087509822.470340,1050754
1024,4086747510.347780,1050950
1024,2859455078.916901,1502023
1497,3745417245.320973,1675295
1497,3746307255.908871,1674897
1497,3185866510.690843,1969536
1497,3745508910.290618,1675254
1497,3745676601.724353,1675179
1497,3746244628.266937,1674925
1497,3744518719.076301,1675697
1497,3745824182.607382,1675113
1497,3745732502.205767,1675154
1497,3745506674.506269,1675255
1497,3745942702.947954,1675060
1497,3736711682.600861,1679198
1497,3744109831.252834,1675880
1497,3745766043.295512,1675139
1497,3514035177.992893,1785605
1497,3745987429.553921,1675040
1497,3736317846.818013,1679375
1497,3747537866.404037,1674347
1497,3737274767.190111,1678945
1497,3746005320.495369,1675032
2190,3430082292.338663,1337743
2190,3086393218.847804,1486709
2190,3429705413.748514,1337890
2190,3429892560.791199,1337817
2190,3430228451.220989,1337686
2190,3429764375.681589,1337867
2190,3430120753.994833,1337728
2190,3430079728.258919,1337744
2190,3430048959.601004,1337756
2190,3430174601.762568,1337707
2190,3430089984.600894,1337740
2190,3429792575.583621,1337856
2190,3430097676.897626,1337737
2190,3430051523.634746,1337755
2190,3350176012.849998,1369650
2190,3430151523.940807,1337716
2190,3428687998.912042,1338287
2190,3430182294.438829,1337704
2190,3429892560.791199,1337817
2190,3430569537.057597,1337553
3202,3258360353.274195,1029795
3202,3258521729.672618,1029744
3202,3258145209.605549,1029863
3202,3257857341.201646,1029954
3202,3019445359.307032,1111278
3202,3258698945.700057,1029688
3202,3258081937.462799,1029883
3202,3258388830.300664,1029786
3202,3257705519.018409,1030002
3202,3257563198.572493,1030047
3202,3258300236.741781,1029814
3202,3258594512.494161,1029721
3202,3257654914.768479,1030018
