EdgeSize,Mean
8,31.266142
9,41.505144
11,64.771222
14,104.279394
17,146.376854
20,188.478866
25,252.043356
30,304.521423
36,351.880005
44,371.442039
53,408.554675
64,434.469608
78,464.056668
94,482.425418
114,495.745390
138,430.247226
167,442.669383
202,444.357198
244,450.687095
296,446.875059
358,454.676401
432,456.630244
523,457.427150
633,459.872241
765,463.962931
925,464.684556
1119,462.333316
1354,456.146489
1637,451.443916
1980,451.806361
2394,448.755492
2896,451.183190
