EdgeSize,Mean
8,30.879817
9,40.990728
11,63.711738
14,102.726179
17,143.141843
20,185.272264
25,242.837152
30,293.906584
36,344.356694
44,388.379934
53,409.819404
64,448.051790
78,472.563907
94,488.287010
114,498.772626
138,495.514594
167,508.083886
202,513.460404
244,523.527819
296,529.123148
358,527.261953
432,532.943023
523,535.050695
633,536.087994
765,537.827076
925,539.591804
1119,540.055129
1354,525.993177
1637,516.863451
1980,505.147748
2394,507.682986
2896,505.933524
