EdgeSize,MegaUpdatesPerSecond,ActualRuntime
78,464.016328,1631563
78,464.867959,1628574
78,464.981309,1628177
78,464.725566,1629073
78,464.523683,1629781
78,463.923348,1631890
78,462.955388,1635302
78,464.404004,1630201
78,464.227733,1630820
94,483.748672,1146663
94,480.964800,1153300
94,481.891144,1151083
94,481.187599,1152766
94,483.240847,1147868
94,481.712869,1151509
94,484.371317,1145189
94,483.911993,1146276
94,483.305267,1147715
94,480.875572,1153514
94,480.648896,1154058
94,482.479215,1149680
94,482.220002,1150298
94,480.808047,1153676
94,484.170493,1145664
94,482.247672,1150232
94,482.071646,1150652
94,482.494743,1149643
94,482.454876,1149738
94,483.702692,1146772
114,494.713711,1661736
114,496.351454,1656253
114,493.634791,1665368
114,496.653718,1655245
114,494.280627,1663192
114,495.328052,1659675
114,503.260813,1633514
114,494.028443,1664041
114,493.630048,1665384
114,495.401182,1659430
114,492.696655,1668539
114,495.560354,1658897
114,496.179495,1656827
114,495.262998,1659893
114,494.563117,1662242
114,496.480051,1655824
114,496.436278,1655970
114,501.397968,1639583
114,492.437530,1669417
114,496.610515,1655389
138,394.164074,1537626
138,439.143538,1380134
138,438.564245,1381957
138,439.654507,1378530
138,439.850737,1377915
138,393.588649,1539874
138,436.170597,1389541
138,439.129220,1380179
138,439.259708,1379769
138,439.121584,1380203
138,440.115525,1377086
138,439.787541,1378113
138,440.239245,1376699
138,439.985167,1377494
138,440.074301,1377215
138,439.765204,1378183
138,438.923462,1380826
138,439.182361,1380012
138,394.106917,1537849
138,394.117937,1537806
167,445.588760,1001045
167,446.159024,1999531
167,445.581193,1001062
167,412.810368,1080531
167,413.029396,1079958
167,446.012029,1000095
167,445.920624,1000300
167,445.904576,1000336
167,445.849755,1000459
167,446.044141,1000023
167,446.073581,1999914
167,446.213475,1999287
167,445.891650,1000365
167,445.923744,1000293
167,446.229099,1999217
167,445.820344,1000525
167,446.050832,1000008
167,445.832375,1000498
167,446.363283,1998616
167,446.089418,1999843
202,451.252588,1452313
202,451.151318,1452639
202,451.262220,1452282
202,450.992981,1453149
202,406.491105,1612237
202,451.318780,1452100
202,451.176476,1452558
202,427.809721,1531896
202,427.818099,1531866
202,451.444691,1451695
202,451.407376,1451815
202,427.859716,1531717
202,451.165295,1452594
202,451.273718,1452245
202,451.308834,1452132
202,451.267814,1452264
202,451.349551,1452001
202,451.511872,1451479
202,427.825919,1531838
202,451.455886,1451659
244,438.826501,1093271
244,455.422171,1053432
244,455.832381,1052484
244,455.678682,1052839
244,455.564449,1053103
244,455.769590,1052629
244,455.580888,1053065
244,455.613770,1052989
244,438.906392,1093072
244,455.667862,1052864
244,439.078718,1092643
244,455.597328,1053027
