EdgeSize,MegaUpdatesPerSecond,ActualRuntime
8,229.775914,1314280
9,227.691187,1805260
11,240.621383,1411922
14,260.847461,1157726
17,257.426095,1832989
20,268.469396,1265465
25,266.129656,1042155
30,274.534102,1497234
36,277.062979,1093753
44,278.457103,1660658
53,274.635977,1241346
64,280.545883,1795930
78,280.417969,1349899
94,280.645800,1976501
114,281.870243,1458266
138,280.256938,1081288
167,281.314068,1585610
202,281.413629,1164407
244,282.481262,1698365
296,281.462523,1257865
358,281.562537,1843678
432,282.429455,1340778
523,282.496719,1967850
633,281.162521,1450111
765,283.642216,1050868
925,284.211881,1534727
1119,283.197354,1127865
1354,280.174103,1670188
1637,281.054193,1217462
1980,280.372633,1786187
2394,280.009831,1307763
2896,280.400849,1911603
