EdgeSize,MegaUpdatesPerSecond,ActualRuntime
8,363.370856,1662158
9,381.209835,1078256
11,422.181617,1609443
14,456.869249,1321997
17,464.372585,1016122
20,489.801231,1387251
25,487.213280,1138509
30,500.471859,1642617
36,517.519949,1171118
44,521.818532,1772348
53,503.285459,1354771
64,521.891156,1930827
78,524.534648,1443321
94,527.556557,1051445
114,530.241038,1550396
138,523.783700,1157113
167,529.315771,1685400
202,529.312659,1238134
244,531.808950,1804243
296,537.641636,1317018
358,535.396618,1939163
432,537.474061,1409092
523,539.715913,1030007
633,538.201718,1515108
765,539.884546,1104201
925,540.646164,1613579
1119,539.643740,1183775
1354,526.662027,1777016
1637,513.828908,1331855
1980,506.013688,1979385
2394,507.559964,1442929
2896,507.806455,1055550
