ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1402294,729288413.739163,1968970,1000000
1402294,729433635.852885,1968578,1000000
1402294,729421037.766711,1968612,1000000
2050785,729420408.877799,1439501,1000000
2050785,729431556.834105,1439479,1000000
2050785,729419902.160608,1439502,1000000
2050785,729398113.987406,1439545,1000000
2050785,729421422.314291,1439499,1000000
2050785,729448279.407494,1439446,1000000
2050785,729432063.567488,1439478,1000000
2050785,729431050.101425,1439480,1000000
2050785,729432063.567488,1439478,1000000
2050785,728715233.736833,1440894,1000000
2050785,728684890.704353,1440954,1000000
2050785,729276022.964524,1439786,1000000
2050785,729232465.108010,1439872,1000000
2050785,729089166.096705,1440155,1000000
2050785,729399634.050274,1439542,1000000
2050785,729449799.679459,1439443,1000000
2050785,729428516.448591,1439485,1000000
2050785,729400140.739305,1439541,1000000
2050785,729262853.761463,1439812,1000000
2050785,729428516.448591,1439485,1000000
2999171,729425083.983158,1052592,1000000
2999171,729432706.841564,1052581,1000000
2999171,729393901.221409,1052637,1000000
2999171,729431320.855457,1052583,1000000
2999171,729374499.959626,1052665,1000000
2999171,729409838.744307,1052614,1000000
2999171,729434785.830599,1052578,1000000
2999171,729413996.473521,1052608,1000000
2999171,729409838.744307,1052614,1000000
2999171,729423698.026019,1052594,1000000
2999171,727245266.148045,1055747,1000000
2999171,729424391.003930,1052593,1000000
2999171,729337086.154995,1052719,1000000
2999171,729373114.194707,1052667,1000000
2999171,729227638.176159,1052877,1000000
2999171,729195779.748377,1052923,1000000
2999171,729433399.836592,1052580,1000000
2999171,729411917.602989,1052611,1000000
2999171,729386279.174045,1052648,1000000
2999171,729331543.695564,1052727,1000000
4386138,729404300.874102,1539408,1000000
4386138,729431309.688304,1539351,1000000
4386138,729430361.976753,1539353,1000000
4386138,729374451.353744,1539471,1000000
4386138,729356921.821777,1539508,1000000
4386138,729413303.589931,1539389,1000000
4386138,729395772.190414,1539426,1000000
4386138,729417094.273607,1539381,1000000
4386138,729409512.945653,1539397,1000000
4386138,729413303.589931,1539389,1000000
4386138,729161311.521825,1539921,1000000
4386138,729402405.593824,1539412,1000000
4386138,729364975.826426,1539491,1000000
4386138,729147106.628717,1539951,1000000
4386138,729416146.598995,1539383,1000000
4386138,729406196.164230,1539404,1000000
4386138,729310496.321786,1539606,1000000
4386138,729382505.745543,1539454,1000000
4386138,729371134.891177,1539478,1000000
4386138,729410934.432640,1539394,1000000
6414508,729298184.964177,1125818,1000000
6414508,729219810.309440,1125939,1000000
6414508,729411566.544633,1125643,1000000
6414508,729429710.869169,1125615,1000000
6414508,729397958.893595,1125664,1000000
6414508,729404438.664101,1125654,1000000
6414508,729396014.984893,1125667,1000000
6414508,729368153.432056,1125710,1000000
6414508,729406382.617703,1125651,1000000
6414508,729404438.664101,1125654,1000000
6414508,725870054.414371,1131135,1000000
6414508,729223048.597875,1125934,1000000
6414508,729395367.017629,1125668,1000000
6414508,729375928.535007,1125698,1000000
6414508,729243126.628138,1125903,1000000
6414508,729357786.885974,1125726,1000000
6414508,729405086.647484,1125653,1000000
6414508,729402494.720861,1125657,1000000
6414508,729346772.753639,1125743,1000000
6414508,729403790.681870,1125655,1000000
9380897,729448517.811353,1646113,1000000
9380897,729412625.729410,1646194,1000000
9380897,729421930.744824,1646173,1000000
9380897,729418829.046641,1646180,1000000
9380897,729422816.949150,1646171,1000000
9380897,729448074.677695,1646114,1000000
9380897,729411296.460873,1646197,1000000
9380897,729362116.930732,1646308,1000000
9380897,729401105.563047,1646220,1000000
9380897,728791941.713867,1647596,1000000
9380897,729440984.612394,1646130,1000000
9380897,729445415.887056,1646120,1000000
9380897,729272193.140526,1646511,1000000
9380897,729449404.080284,1646111,1000000
9380897,729418829.046641,1646180,1000000
9380897,729375408.041655,1646278,1000000
9380897,729417499.755495,1646183,1000000
9380897,729412625.729410,1646194,1000000
9380897,729399333.262059,1646224,1000000
