ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
21426,733433871.272740,1914342,1000000
21426,734210522.627786,1912317,1000000
21426,734218201.461384,1912297,1000000
21426,734201308.239482,1912341,1000000
21426,734210906.565651,1912316,1000000
21426,734188254.918622,1912375,1000000
21426,734149097.740783,1912477,1000000
21426,733967570.506286,1912950,1000000
21426,734124914.511592,1912540,1000000
21426,733959129.563841,1912972,1000000
21426,731938521.143978,1918253,1000000
21426,733923065.905724,1913066,1000000
21426,734028965.019683,1912790,1000000
21426,733976011.642885,1912928,1000000
21426,734189790.579338,1912371,1000000
21426,733843661.620689,1913273,1000000
21426,733816813.817491,1913343,1000000
21426,734091137.429756,1912628,1000000
21426,734135662.416759,1912512,1000000
31334,732838517.230525,1400973,1000000
31334,732844794.394705,1400961,1000000
31334,732887168.065787,1400880,1000000
31334,732868857.853617,1400915,1000000
31334,732651297.944597,1401331,1000000
31334,732865719.051966,1400921,1000000
31334,732876181.828695,1400901,1000000
31334,732811840.482390,1401024,1000000
31334,732554588.031817,1401516,1000000
31334,732853687.228041,1400944,1000000
31334,732614179.229086,1401402,1000000
31334,732759015.790882,1401125,1000000
31334,732860487.775629,1400931,1000000
31334,732888214.391260,1400878,1000000
31334,731370527.538049,1403785,1000000
31334,732806086.928592,1401035,1000000
31334,732807133.022563,1401033,1000000
31334,732868334.718142,1400916,1000000
31334,732855779.690779,1400940,1000000
31334,732903386.446362,1400849,1000000
45825,731620019.314181,1026189,1000000
45825,731724837.774672,1026042,1000000
45825,731725550.928277,1026041,1000000
45825,731718419.454783,1026051,1000000
45825,731696312.770324,1026082,1000000
45825,731625009.988482,1026182,1000000
45825,731602908.947752,1026213,1000000
45825,731734108.879963,1026029,1000000
45825,731049392.886007,1026990,1000000
45825,731667076.948865,1026123,1000000
45825,731730543.042433,1026034,1000000
45825,731642834.381094,1026157,1000000
45825,731503114.425544,1026353,1000000
45825,731684903.391294,1026098,1000000
45825,731720558.882236,1026048,1000000
45825,731662798.731933,1026129,1000000
45825,731735535.224707,1026027,1000000
45825,731730543.042433,1026034,1000000
45825,731722698.322198,1026045,1000000
45825,731692034.211491,1026088,1000000
67017,731153577.590541,1501723,1000000
67017,730548404.589056,1502967,1000000
67017,730782765.884518,1502485,1000000
67017,731164289.029574,1501701,1000000
67017,731174513.877790,1501680,1000000
67017,731140432.162477,1501750,1000000
67017,731080553.415635,1501873,1000000
67017,731087368.388111,1501859,1000000
67017,730780333.978928,1502490,1000000
67017,730847460.515245,1502352,1000000
67017,730905354.895013,1502233,1000000
67017,731103432.754527,1501826,1000000
67017,730801735.303632,1502446,1000000
67017,730892218.390958,1502260,1000000
67017,730838704.180728,1502370,1000000
67017,731108787.700216,1501815,1000000
