ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
1024,832708515.289769,1289457,1000000
1024,832637485.295452,1289567,1000000
1024,832658793.021355,1289534,1000000
1024,832474807.705577,1289819,1000000
1024,832495461.653746,1289787,1000000
1024,832707869.507964,1289458,1000000
1024,831656574.919758,1291088,1000000
1024,832717556.340218,1289443,1000000
1024,832723368.547750,1289434,1000000
1024,832709806.856385,1289455,1000000
1024,832720139.533549,1289439,1000000
1024,832675581.694724,1289508,1000000
1024,832736930.680860,1289413,1000000
1024,832716264.749563,1289445,1000000
1024,832440601.858169,1289872,1000000
1024,832738222.335624,1289411,1000000
1024,832746618.189263,1289398,1000000
1024,832294129.365266,1290099,1000000
1024,832681393.316319,1289499,1000000
1024,832718202.137048,1289442,1000000
1497,796993900.620506,1968233,1000000
1497,797227612.956736,1967656,1000000
1497,797216268.465872,1967684,1000000
1497,796994305.549346,1968232,1000000
1497,797208975.749377,1967702,1000000
1497,797246656.220824,1967609,1000000
1497,797211811.789937,1967695,1000000
1497,797210191.192860,1967699,1000000
1497,797185883.027342,1967759,1000000
1497,797215053.003857,1967687,1000000
1497,797203303.728790,1967716,1000000
1497,796948146.311675,1968346,1000000
1497,796874464.574545,1968528,1000000
1497,797226397.460129,1967659,1000000
1497,797028726.004714,1968147,1000000
1497,797227612.956736,1967656,1000000
1497,797185477.903809,1967760,1000000
1497,797167247.770994,1967805,1000000
1497,796978513.629475,1968271,1000000
1497,797237337.063028,1967632,1000000
2190,774335311.120021,1481454,1000000
2190,774556993.443752,1481030,1000000
2190,774578436.436732,1480989,1000000
2190,774558039.415865,1481028,1000000
2190,774514111.019288,1481112,1000000
2190,774204139.150506,1481705,1000000
2190,774538166.428775,1481066,1000000
2190,774285659.131085,1481549,1000000
2190,774564838.303461,1481015,1000000
2190,752178486.164450,1525093,1000000
2190,774276774.710003,1481566,1000000
2190,774578436.436732,1480989,1000000
2190,774532936.864820,1481076,1000000
2190,774434634.204301,1481264,1000000
2190,774340015.322877,1481445,1000000
2190,774554378.525828,1481035,1000000
2190,774514633.947084,1481111,1000000
2190,774577913.422778,1480990,1000000
2190,774281478.201649,1481557,1000000
2190,774513588.092198,1481113,1000000
3202,759548034.671561,1104421,1000000
3202,759797076.062058,1104059,1000000
3202,759698678.321539,1104202,1000000
3202,759803957.976503,1104049,1000000
3202,759782624.447504,1104080,1000000
3202,759440075.757439,1104578,1000000
3202,759788129.759653,1104072,1000000
3202,759673910.877909,1104238,1000000
3202,759797764.247893,1104058,1000000
3202,759781936.289095,1104081,1000000
3202,759791570.620261,1104067,1000000
3202,759722071.279008,1104168,1000000
3202,759570730.576573,1104388,1000000
3202,759806710.777188,1104045,1000000
3202,759801205.195765,1104053,1000000
3202,759783312.607159,1104079,1000000
3202,759777119.215135,1104088,1000000
3202,759811528.226383,1104038,1000000
3202,759484768.400191,1104513,1000000
3202,759761980.237476,1104110,1000000
4684,750016795.142749,1637140,1000000
4684,750015420.766543,1637143,1000000
4684,749947166.418696,1637292,1000000
4684,749741562.310524,1637741,1000000
4684,749763079.061168,1637694,1000000
4684,749959533.734612,1637265,1000000
4684,749717757.982846,1637793,1000000
4684,750003509.717079,1637169,1000000
4684,749965030.450395,1637253,1000000
4684,749650930.834421,1637939,1000000
4684,749975566.047531,1637230,1000000
4684,749981521.081201,1637217,1000000
4684,749945334.258436,1637296,1000000
4684,749776355.970238,1637665,1000000
4684,749976482.200402,1637228,1000000
4684,749987476.209440,1637204,1000000
4684,749768115.074773,1637683,1000000
4684,740036870.381107,1659218,1000000
4684,749968694.972347,1637245,1000000
4684,749970985.316753,1637240,1000000
6850,743465799.934233,1207293,1000000
6850,743470726.464754,1207285,1000000
6850,743210325.674749,1207708,1000000
6850,743077425.400936,1207924,1000000
6850,743425774.293954,1207358,1000000
