EdgeSize,MegaUpdatesPerSecond,ActualRuntime
8,30.443978,1239941
8,30.706456,1229342
8,30.311895,1245344
8,30.460117,1239284
8,30.543273,1235910
8,30.169881,1251206
8,30.861802,1223154
8,30.516285,1237003
8,30.578901,1234470
8,30.477308,1238585
8,30.939203,1220094
8,30.578282,1234495
8,30.623305,1232680
8,30.524749,1236660
8,30.719250,1228830
8,30.504202,1237493
8,30.332549,1244496
8,30.388834,1242191
8,30.777884,1226489
8,30.500948,1237625
9,40.914434,1255797
9,40.521448,1267976
9,40.535323,1267542
9,40.310545,1274610
9,40.461839,1269844
9,40.206166,1277919
9,40.344413,1273540
9,40.524676,1267875
9,40.408157,1271531
9,40.878335,1256906
9,40.456168,1270022
9,40.452442,1270139
9,40.696433,1262524
9,40.165966,1279198
9,39.999583,1284519
9,40.568737,1266498
9,40.210037,1277796
9,39.920427,1287066
9,40.852495,1257701
9,40.366632,1272839
11,62.951025,1349218
11,62.653273,1355630
11,62.743850,1353673
11,62.949859,1349243
11,62.761097,1353301
11,62.988560,1348414
11,62.956858,1349093
11,63.010756,1347939
11,63.276784,1342272
11,62.755116,1353430
11,63.158492,1344786
11,62.965445,1348909
11,62.699200,1354637
11,62.949485,1349251
11,62.678286,1355089
11,63.068026,1346715
11,62.891081,1350504
11,62.610874,1356548
11,63.092668,1346189
11,63.324764,1341255
14,102.203434,1477396
14,102.605551,1471606
14,102.509144,1472990
14,102.912903,1467211
14,102.694386,1470333
14,102.206339,1477354
14,103.112915,1464365
14,102.616917,1471443
14,102.569029,1472130
14,102.496688,1473169
14,102.585753,1471890
14,102.261022,1476564
14,101.717907,1484448
14,102.423339,1474224
14,102.541375,1472527
14,102.646285,1471022
14,102.178881,1477751
14,102.111993,1478719
14,102.573070,1472072
14,102.054641,1479550
17,143.446491,1644722
17,142.777364,1652430
17,143.162555,1647984
17,142.929771,1650668
17,142.763368,1652592
17,143.366297,1645642
17,143.065846,1649098
17,142.727095,1653012
17,143.887676,1639679
17,143.348876,1645842
17,143.617377,1642765
17,143.703891,1641776
17,142.093994,1660377
17,143.279405,1646640
17,143.290022,1646518
17,143.520052,1643879
17,143.609159,1642859
17,142.530933,1655287
17,143.034187,1649463
17,142.907348,1650927
20,186.008121,1826472
20,185.887315,1827659
20,186.267972,1823924
20,186.270321,1823901
20,185.847861,1828047
20,185.859553,1827932
20,185.984598,1826703
20,185.197154,1834470
20,185.394730,1832515
20,185.539110,1831089
20,185.266435,1833784
20,185.901250,1827522
20,185.509933,1831377
20,185.475802,1831714
20,184.989926,1836525
20,186.833104,1818407
20,186.064048,1825923
20,185.914068,1827396
20,186.498036,1821674
20,186.203757,1824553
25,248.096752,1117904
25,247.819428,1119155
25,248.070124,1118024
25,248.845356,1114541
25,249.269400,1112645
25,248.350011,1116764
25,247.582278,1120227
25,248.893592,1114325
25,248.870365,1114429
25,249.352096,1112276
25,248.953020,1114059
25,248.239314,1117262
25,248.799817,1114745
25,248.861879,1114467
25,249.315560,1112439
25,248.292650,1117022
25,248.458137,1116278
25,248.143367,1117694
25,247.289564,1121553
25,247.862837,1118959
30,302.713162,1357859
30,303.173999,1355795
30,302.719628,1357830
30,302.757310,1357661
30,301.775295,1362079
30,301.769092,1362107
30,303.173328,1355798
30,302.949434,1356800
30,301.926028,1361399
30,302.422735,1359163
30,302.680840,1358004
30,301.699542,1362421
30,301.348520,1364008
30,303.223873,1355572
30,303.377176,1354887
30,302.988290,1356626
30,302.786749,1357529
30,302.271062,1359845
30,303.689184,1353495
30,303.240874,1355496
36,351.341815,1725035
36,352.196461,1720849
36,350.836214,1727521
36,350.773066,1727832
36,351.330206,1725092
36,350.639331,1728491
36,351.561715,1723956
36,351.200727,1725728
36,351.583129,1723851
36,352.120342,1721221
36,350.852665,1727440
36,351.205001,1725707
36,350.512185,1729118
36,351.261994,1725427
36,351.540304,1724061
36,351.477513,1724369
36,351.061989,1726410
36,351.485667,1724329
36,352.432802,1719695
36,351.797613,1722800
44,396.845993,1165243
44,399.031821,1158860
44,397.819338,1162392
44,398.446628,1160562
44,397.483540,1163374
44,381.412012,1212395
44,397.651710,1162882
44,397.764929,1162551
44,398.071045,1161657
44,397.845692,1162315
44,398.255833,1161118
44,397.902520,1162149
44,398.471349,1160490
44,397.934707,1162055
44,397.023509,1164722
44,398.533164,1160310
44,397.106018,1164480
44,397.401558,1163614
44,397.485932,1163367
44,397.692749,1162762
53,432.404462,1576849
53,431.990785,1578359
53,431.718083,1579356
53,431.467292,1580274
53,431.508797,1580122
53,432.768385,1575523
53,432.142740,1577804
53,433.025090,1574589
53,432.215607,1577538
53,432.849157,1575229
53,432.998141,1574687
53,431.856716,1578849
53,432.032665,1578206
53,432.373203,1576963
53,431.555500,1579951
53,432.043068,1578168
53,432.198621,1577600
53,431.509071,1580121
53,431.316631,1580826
53,432.064696,1578089
64,452.838476,1112628
64,454.576905,1108373
64,455.417994,1106326
64,455.356667,1106475
64,454.695874,1108083
64,453.366970,1111331
64,454.445291,1108694
64,452.502138,1113455
64,454.542867,1108456
64,454.960700,1107438
64,454.124572,1109477
64,454.562961,1108407
64,452.754650,1112834
64,454.274021,1109112
64,452.586684,1113247
64,449.080358,1121939
64,454.348168,1108931
64,452.367255,1113787
64,454.522774,1108505
64,452.489946,1113485
78,475.327312,1592738
78,475.295978,1592843
78,474.338274,1596059
78,473.741074,1598071
78,474.069170,1596965
78,469.909920,1611100
78,475.258085,1592970
78,468.413184,1616248
78,474.306774,1596165
78,472.301770,1602941
78,473.977162,1597275
78,474.500003,1595515
78,474.466102,1595629
78,473.517956,1598824
78,474.770490,1594606
78,474.403369,1595840
78,471.395998,1606021
78,475.001645,1593830
78,473.219312,1599833
78,473.450735,1599051
94,499.822222,1109788
94,499.613335,1110252
94,493.131679,1124845
94,493.537094,1123921
94,497.992759,1113865
94,496.946101,1116211
94,500.171507,1109013
94,496.660441,1116853
94,501.513685,1106045
94,500.324897,1108673
94,499.797002,1109844
94,497.385464,1115225
94,500.850289,1107510
94,494.262268,1122272
94,498.506990,1112716
94,483.922548,1146251
94,500.157527,1109044
94,500.594457,1108076
94,498.990412,1111638
94,499.934391,1109539
114,518.611715,1585162
114,517.801284,1587643
114,519.932570,1581135
114,521.935960,1575066
114,517.839446,1587526
114,518.520125,1585442
114,519.191775,1583391
114,519.165872,1583470
114,518.409278,1585781
114,519.506092,1582433
114,518.851967,1584428
114,519.821447,1581473
114,519.863524,1581345
114,518.043397,1586901
114,518.305342,1586099
114,518.573767,1585278
114,518.584889,1585244
114,518.428240,1585723
114,519.574387,1582225
114,518.604845,1585183
138,454.761770,1332735
138,455.938277,1329296
138,454.841631,1332501
138,405.659862,1494052
138,455.025007,1331964
138,455.305649,1331143
138,455.781583,1329753
138,455.266318,1331258
138,455.375094,1330940
138,455.089240,1331776
138,405.723135,1493819
138,455.391176,1330893
138,455.251955,1331300
138,454.902057,1332324
138,455.498985,1330578
138,455.381595,1330921
138,405.858981,1493319
138,455.017491,1331986
138,455.679122,1330052
138,455.650346,1330136
167,427.161475,1044229
167,463.123031,1926289
167,369.610763,1206822
167,427.232256,1044056
167,463.211523,1925921
167,463.452885,1924918
167,466.094847,1914007
167,463.354433,1925327
167,463.699077,1923896
167,463.417976,1925063
167,464.056304,1922415
167,457.417802,1950315
167,463.438680,1924977
167,463.836741,1923325
167,462.865922,1927359
167,463.456737,1924902
167,466.444313,1912573
167,466.575560,1912035
167,463.702211,1923883
167,463.611362,1924260
202,470.377811,1393263
202,470.467632,1392997
202,444.342291,1474899
202,444.358861,1474844
202,470.496004,1392913
202,470.602090,1392599
202,470.408535,1393172
202,444.173644,1475459
202,470.234708,1393687
202,470.522014,1392836
202,470.417652,1393145
202,430.106398,1523716
202,444.473683,1474463
202,470.541608,1392778
202,470.714986,1392265
202,470.640955,1392484
202,444.280238,1475105
202,470.549717,1392754
202,470.637237,1392495
202,470.166900,1393888
244,476.274720,1007310
244,457.787523,1047989
244,457.689258,1048214
244,457.498091,1048652
244,476.312075,1007231
244,476.214207,1007438
244,476.275665,1007308
244,457.661752,1048277
244,476.133862,1007608
244,457.625518,1048360
244,457.453159,1048755
244,476.273774,1007312
244,476.195772,1007477
244,424.279983,1130754
244,476.312075,1007231
244,476.168359,1007535
244,476.226024,1007413
244,476.042207,1007802
244,457.601511,1048415
244,476.259590,1007342
296,480.456755,1473772
296,470.490955,1504989
296,467.508200,1514591
296,467.502644,1514609
296,480.625032,1473256
296,480.536639,1473527
296,443.394215,1596962
296,480.518377,1473583
296,467.503879,1514605
296,467.555431,1514438
296,480.466861,1473741
296,467.418086,1514883
296,467.488755,1514654
296,480.441433,1473819
296,480.457733,1473769
296,454.931577,1556462
296,480.628620,1473245
296,480.560773,1473453
296,470.234121,1505811
296,480.446323,1473804
358,483.462995,1073734
358,474.402057,1094242
358,456.890005,1136183
358,473.970640,1095238
358,474.417665,1094206
358,474.384283,1094283
358,483.409870,1073852
358,465.459053,1115266
358,457.290875,1135187
358,474.292829,1094494
358,474.225237,1094650
358,474.408994,1094226
358,483.558921,1073521
358,483.438682,1073788
358,483.122386,1074491
358,474.366509,1094324
358,474.402057,1094242
358,457.178512,1135466
358,483.513430,1073622
358,474.289796,1094501
432,473.266207,1600263
432,473.195535,1600502
432,479.494415,1579477
432,479.461934,1579584
432,479.518702,1579397
432,485.382393,1560317
432,483.135958,1567572
432,485.759092,1559107
432,461.451529,1641235
432,485.765946,1559085
432,461.330661,1641665
432,483.410418,1566682
432,485.792119,1559001
432,485.832008,1558873
432,479.062206,1580902
432,485.784329,1559026
432,485.677476,1559369
432,479.410946,1579752
432,485.645709,1559471
432,476.802607,1588394
523,487.173859,1141094
523,474.221732,1172260
523,488.169798,1138766
523,487.115803,1141230
523,487.744914,1139758
523,482.497277,1152154
523,478.378869,1162073
523,474.130325,1172486
523,482.595291,1151920
523,474.237510,1172221
523,470.646496,1181165
523,474.357696,1171924
523,487.344266,1140695
523,478.501164,1161776
523,474.367815,1171899
523,474.226587,1172248
523,478.339353,1162169
523,478.416745,1161981
523,470.281392,1182082
523,478.660199,1161390
633,477.188327,1708830
633,486.135069,1677381
633,483.139535,1687781
633,489.025700,1667466
633,480.189458,1698150
633,487.191136,1673745
