ArraySize,AdditionsPerSecond,ActualRuntime
1024,1516844803.168905,1415757
1024,1516857660.101219,1415745
1024,1516822304.061795,1415778
1024,1516924091.057108,1415683
1024,1516895160.732071,1415710
1024,1516821232.692391,1415779
1024,1516848017.381551,1415754
1024,1516899446.636519,1415706
1024,1516150852.333902,1416405
1024,1516906947.027581,1415699
1024,1516860874.368352,1415742
1024,1516725886.876460,1415868
1024,1516819089.958122,1415781
1024,1516314644.568904,1416252
1024,1516874803.016679,1415729
1024,1516196881.870595,1416362
1024,1516134796.176275,1416420
1024,1516391735.513847,1416180
1024,1516879088.806089,1415725
1024,1516924091.057108,1415683
1497,1501605012.913268,1044662
1497,1501563329.252382,1044691
1497,1501597825.910075,1044667
1497,1501620824.562462,1044651
1497,1501597825.910075,1044667
1497,1503788731.192691,1043145
1497,1501553268.025784,1044698
1497,1501587764.221183,1044674
1497,1501567641.247913,1044688
1497,1500919682.453722,1045139
1497,1501530271.442711,1044714
1497,1501465597.329145,1044759
1497,1501590638.975678,1044672
1497,1501600700.703096,1044665
1497,1500777522.439866,1045238
1497,1501563329.252382,1044691
1497,1501577702.667130,1044681
1497,1500957021.872276,1045113
1497,1501477094.542145,1044751
1497,1501435417.982733,1044780
2190,1490889925.003363,1538869
2190,1491161244.490894,1538589
2190,1490947087.684639,1538810
2190,1491412302.951902,1538330
2190,1490876361.620734,1538883
2190,1490929647.757904,1538828
2190,1491424906.569972,1538317
2190,1491480171.102414,1538260
2190,1490966465.859539,1538790
2190,1491540288.051343,1538198
2190,1490940305.442427,1538817
2190,1491363829.482963,1538380
2190,1490831797.958190,1538929
2190,1491378371.192792,1538365
2190,1491501502.368294,1538238
2190,1491490836.659085,1538249
2190,1491442358.085132,1538299
2190,1491523803.889573,1538215
2190,1491543197.058891,1538195
2190,1491434601.805751,1538307
3202,1477385210.663595,1135602
3202,1477322766.697486,1135650
3202,1477191391.422944,1135751
3202,1477406026.492049,1135586
3202,1477409929.525187,1135583
3202,1477403424.481414,1135588
3202,1477389113.586750,1135599
3202,1476404929.441126,1136356
3202,1477247320.614102,1135708
3202,1477205698.487330,1135740
3202,1477369599.177185,1135614
3202,1477389113.586750,1135599
3202,1477347483.469543,1135631
3202,1477335775.421789,1135640
3202,1477175784.032408,1135763
3202,1477368298.234877,1135615
3202,1477416434.626243,1135578
3202,1477361793.557704,1135620
3202,1474264283.316608,1138006
3202,1477359191.702873,1135622
4684,1474330029.381358,1665682
4684,1471352312.958306,1669053
4684,1474207007.835776,1665821
4684,1474282234.399689,1665736
4684,1474262763.258528,1665758
4684,1474260108.142765,1665761
4684,1474268958.565836,1665751
4684,1473548881.681782,1666565
4684,1474232672.506531,1665792
4684,1474223822.519123,1665802
4684,1474314097.376478,1665700
4684,1473893793.869191,1666175
4684,1474270728.663202,1665749
4684,1474317637.792250,1665696
4684,1473731045.951083,1666359
4684,1474176919.359728,1665855
4684,1474287544.800178,1665730
4684,1474288429.870645,1665729
4684,1474256568.003290,1665765
4684,1474254797.939928,1665767
6850,1467406580.417654,1223357
6850,1467692114.994534,1223119
6850,1467845725.765766,1222991
6850,1467205093.479904,1223525
6850,1467129550.142695,1223588
6850,1467791718.314097,1223036
6850,1467081590.156486,1223628
6850,1467828923.021574,1223005
6850,1467361001.148443,1223395
6850,1467824122.308176,1223009
6850,1467674115.836859,1223134
6850,1467719714.560427,1223096
6850,1467837324.345583,1222998
6850,1467780917.300672,1223045
6850,1467785717.731458,1223041
6850,1467818121.460588,1223014
6850,1467825322.483581,1223008
6850,1467676515.699041,1223132
6850,1467819321.626181,1223013
6850,1467789318.075154,1223038
10018,1464508774.053277,1792843
10018,1465156833.793700,1792050
10018,1465165827.306214,1792039
10018,1465048920.254751,1792182
10018,1464601902.462670,1792729
10018,1465112685.424507,1792104
10018,1465199349.552845,1791998
10018,1465164192.113908,1792041
10018,1465062817.318718,1792165
10018,1465205890.657872,1791990
10018,1464654190.269794,1792665
10018,1465237779.381244,1791951
10018,1464568407.548096,1792770
10018,1465179726.588178,1792022
10018,1465137211.967809,1792074
10018,1465115955.582836,1792100
10018,1465183814.662472,1792017
10018,1465180544.201212,1792021
10018,1464460580.667543,1792902
10018,1465186267.517999,1792014
14650,1463543830.254337,1311845
14650,1463697804.463954,1311707
14650,1463552755.410924,1311837
14650,1463562796.342203,1311828
14650,1463179107.616989,1312172
14650,1463666560.700141,1311735
14650,1463684414.116133,1311719
14650,1463510361.886613,1311875
