ArraySize,AdditionsPerSecond,ActualRuntime
448328,2187286256.918828,1679114
448328,2187166420.320080,1679206
655657,2187661729.378615,1227597
655657,2187569065.750878,1227649
655657,2187622524.578065,1227619
655657,2187704499.854591,1227573
655657,2187588667.017476,1227638
655657,2187567283.834970,1227650
655657,2187631434.636621,1227614
655657,2187570847.669690,1227648
655657,2187456810.717823,1227712
655657,2187289340.498417,1227806
655657,2187036402.192927,1227948
655657,2186557404.758280,1228217
655657,2187706281.994050,1227572
655657,2187672421.840825,1227591
655657,2186742568.477005,1228113
655657,2187643908.840533,1227607
655657,2187430085.027046,1227727
655657,2187597576.800233,1227633
655657,2187560156.200363,1227654
655657,2187569065.750878,1227649
958866,2187734860.929380,1795239
958866,2187787263.340605,1795196
958866,2187806762.553059,1795180
958866,2187771420.486417,1795209
958866,2187446083.378447,1795476
958866,2187615441.557769,1795337
958866,2187098920.179245,1795761
958866,2187002708.481824,1795840
958866,2187777513.864719,1795204
958866,2187859168.408874,1795137
958866,2187582542.593034,1795364
958866,2187845762.020736,1795148
958866,2187797012.903384,1795188
958866,2187829918.319304,1795161
958866,2187737298.195168,1795237
958866,2187650778.585067,1795308
958866,2187018540.204597,1795827
958866,2187756796.516975,1795221
958866,2187716581.609065,1795254
958866,2187616660.056948,1795336
1402294,2187244827.378736,1313019
1402294,2187011638.346918,1313159
1402294,2186329013.550107,1313569
1402294,2187113236.026557,1313098
1402294,2185981205.348240,1313778
1402294,2187194854.114356,1313049
1402294,2187048279.044761,1313137
1402294,2186372289.296963,1313543
1402294,2186383940.752290,1313536
1402294,2186220831.677621,1313634
1402294,2187148214.461147,1313077
1402294,2187278144.157002,1312999
1402294,2187141551.815920,1313081
1402294,2187333119.060204,1312966
1402294,2187226503.583315,1313030
1402294,2187031624.029907,1313147
1402294,2186806806.154352,1313282
1402294,2187329787.169223,1312968
1402294,2187268149.016950,1313005
1402294,2187053275.598682,1313134
2050785,2187991812.753995,1919571
2050785,2187983833.946836,1919578
2050785,2187179413.045154,1920284
2050785,2187906328.562662,1919646
2050785,2187956478.478351,1919602
2050785,2187924564.629642,1919630
2050785,2187761590.563051,1919773
2050785,2188078443.548954,1919495
2050785,2188029427.914425,1919538
2050785,2187924564.629642,1919630
2050785,2188061344.822376,1919510
2050785,2188060204.916773,1919511
2050785,2188079583.473561,1919494
2050785,2187875555.888946,1919673
2050785,2186945945.537829,1920489
2050785,2188029427.914425,1919538
2050785,2186754653.225433,1920657
2050785,2187351413.678115,1920133
2050785,2187351413.678115,1920133
2050785,2188083003.254508,1919491
2999171,2188156758.805642,1403532
2999171,2187743692.285993,1403797
2999171,2188108429.760545,1403563
2999171,2188180144.593903,1403517
2999171,2188058543.953206,1403595
2999171,2188113106.671607,1403560
2999171,2188080368.714025,1403581
2999171,2188055426.165773,1403597
2999171,2188005542.775192,1403629
2999171,2187890196.145481,1403703
2999171,2188133373.517239,1403547
2999171,2188089722.316228,1403575
2999171,2188064779.554728,1403591
2999171,2188166113.060962,1403526
2999171,2187986837.090111,1403641
2999171,2188198853.584419,1403505
2999171,2188152081.707973,1403535
2999171,2187904224.140019,1403694
2999171,2188077250.864395,1403583
2999171,2188130255.516551,1403549
4386138,2187613919.593046,1026553
4386138,2188240621.519519,1026259
4386138,2188161731.118507,1026296
4386138,2188183052.287569,1026286
4386138,2188180920.151966,1026287
4386138,2188142542.421600,1026305
4386138,2188234224.788602,1026262
4386138,2188153202.767222,1026300
4386138,2188040208.388342,1026353
4386138,2188108430.013612,1026321
4386138,2187831306.121773,1026451
4386138,2188089242.251518,1026330
4386138,2188134014.219889,1026309
4386138,2188151070.689788,1026301
4386138,2188195845.188447,1026280
4386138,2188134014.219889,1026309
4386138,2188097770.104236,1026326
4386138,2187959200.733444,1026391
4386138,2188014626.375607,1026365
4386138,2188097770.104236,1026326
6414508,2187892611.512152,1501092
6414508,2187381136.679847,1501443
6414508,2188242475.607188,1500852
6414508,2188178325.480247,1500896
6414508,2187880951.302378,1501100
6414508,2187802248.137100,1501154
6414508,2188224979.745000,1500864
6414508,2188207484.162582,1500876
6414508,2188162288.536199,1500907
6414508,2188188530.930668,1500889
6414508,2187621543.778035,1501278
6414508,2188191446.791131,1500887
6414508,2188204568.259379,1500878
6414508,2188109805.635524,1500943
6414508,2188214773.954590,1500871
6414508,2187614257.938044,1501283
6414508,2188157914.864982,1500910
6414508,2188194362.659364,1500885
6414508,2187674003.258635,1501242
6414508,2187199045.264683,1501568
9380897,2187976042.143087,1097594
9380897,2188221261.427409,1097471
9380897,2187623262.046456,1097771
9380897,2188135528.111714,1097514
9380897,2187916240.898523,1097624
9380897,2188297031.344966,1097433
9380897,2188179390.829273,1097492
9380897,2188171415.658918,1097496
9380897,2188195341.344384,1097484
9380897,2187519642.055231,1097823
9380897,2188153471.738170,1097505
9380897,2187788675.835028,1097688
9380897,2188167428.095541,1097498
9380897,2187870395.491446,1097647
9380897,2188179390.829273,1097492
9380897,2188143503.020473,1097510
9380897,2188211292.092037,1097476
9380897,2188143503.020473,1097510
9380897,2188047807.951835,1097558
9380897,2188169421.875413,1097497
13719093,2186791382.065022,1606046
13719093,2187830776.255651,1605283
13719093,2187913915.956796,1605222
13719093,2187980704.883523,1605173
13719093,2187819873.156954,1605291
13719093,2187896197.130015,1605235
13719093,2187565044.179989,1605478
13719093,2187879841.544634,1605247
13719093,2187832139.150629,1605282
13719093,2187915278.955359,1605221
13719093,2187924819.992848,1605214
13719093,2187938450.190754,1605204
13719093,2186293150.200571,1606412
13719093,2187957532.753132,1605190
13719093,2186920741.666464,1605951
13719093,2187678142.762373,1605395
13719093,2187851219.858615,1605268
13719093,2187932998.091213,1605208
13719093,2187735377.826559,1605353
13719093,2188028413.756325,1605138
20063488,2187380139.941145,1174065
20063488,2184013151.057723,1175875
20063488,2184774930.772078,1175465
20063488,2184533333.333333,1175595
20063488,2187357783.177764,1174077
20063488,2180260331.318729,1177899
20063488,2186193999.839960,1174702
20063488,2187203161.409007,1174160
20063488,2187031798.966491,1174252
20063488,2186389428.884971,1174597
20063488,2183242622.142499,1176290
20063488,2183684449.327070,1176052
20063488,2186637022.505586,1174464
20063488,2184838126.610579,1175431
20063488,2184631824.298919,1175542
20063488,2184609523.679899,1175554
20063488,2184135743.135152,1175809
20063488,2185100242.493342,1175290
20063488,2187195710.309633,1174164
20063488,2184085590.167336,1175836
29341848,2086135047.674275,1800342
29341848,2078258788.765830,1807165
29341848,2086210368.737700,1800277
29341848,2085350873.033544,1801019
29341848,2083908004.700749,1802266
29341848,2082687697.482757,1803322
29341848,2078384147.475230,1807056
29341848,2083776198.138017,1802380
29341848,2082425564.262462,1803549
29341848,2082076925.422333,1803851
29341848,2082915241.039861,1803125
29341848,2083620132.980863,1802515
29341848,2084136971.523827,1802068
29341848,2082997261.313305,1803054
29341848,2084563816.708562,1801699
29341848,2085076493.291348,1801256
29341848,2082996106.053337,1803055
29341848,2085573208.309294,1800827
29341848,2085426137.480469,1800954
29341848,2085568575.840820,1800831
42910984,2065257475.204228,1329763
42910984,2064856852.636162,1330021
42910984,2030087947.959787,1352800
42910984,2053947935.995094,1337085
42910984,2069075833.886457,1327309
42910984,2072159150.825377,1325334
42910984,2072113810.329698,1325363
42910984,2071115259.253003,1326002
42910984,1948766420.767897,1409252
42910984,2061012273.152310,1332502
42910984,2072262346.936620,1325268
42910984,2065119258.383640,1329852
42910984,2068338760.429046,1327782
42910984,2072501613.822196,1325115
42910984,2053855771.812331,1337145
42910984,2067169559.205530,1328533
42910984,2072916161.074839,1324850
42910984,2065965932.625044,1329307
42910984,2069325279.979867,1327149
42910984,2068670612.224299,1327569
62755168,2052282261.637286,1957007
62755168,1736955419.797412,2312282
62755168,2062865344.918532,1946967
62755168,2060909194.561824,1948815
62755168,2060284390.219380,1949406
62755168,2059656795.897436,1950000
62755168,2059933566.458673,1949738
62755168,2049580218.688938,1959587
62755168,2059720171.902725,1949940
62755168,2059428674.567330,1950216
62755168,2060009638.573992,1949666
62755168,2060878526.962651,1948844
62755168,2060752693.611936,1948963
62755168,2060318210.871798,1949374
62755168,2061478296.977278,1948277
62755168,2060243172.800464,1949445
62755168,2060505301.413864,1949197
62755168,2059711721.543344,1949948
62755168,2060470417.549494,1949230
62755168,2060734718.673357,1948980
91776294,2043901609.041813,1436880
91776294,2066159615.759381,1421401
91776294,2064733158.368738,1422383
91776294,2062337894.784889,1424035
91776294,2067828250.439710,1420254
91776294,2051073113.497447,1431856
91776294,2049249784.736905,1433130
91776294,2067675386.293184,1420359
91776294,2069553541.403877,1419070
91776294,2045706879.017450,1435612
