ArraySize,Mean
1024,3965209471.884901
1497,3704814594.957490
2190,3408809102.247672
3202,3246158998.530137
4684,3143927508.590724
6850,3066947522.884256
10018,3008261804.725010
14650,2981051878.274913
21426,2963265963.058514
31334,2948954705.796355
45825,2935257720.544497
67017,2931034927.153201
98010,2926864358.038885
143335,2923714027.827437
209620,2921583234.622182
306559,2917960190.163818
448328,2917796532.266827
655657,2917655134.467889
958866,2917419327.729382
1402294,2917681542.472040
2050785,2917585821.014061
2999171,2917497788.075828
4386138,2917413385.629269
6414508,2917268652.492341
9380897,2917409908.538545
13719093,2917386691.417934
20063488,2914218254.545769
29341848,2800431508.533132
42910984,2760238585.880021
62755168,2684468067.008819
91776294,2683678114.202630
134218240,2683034956.003153
