Threads,MegaUpdatesPerSecond,ActualRuntime
1,567.653101,1891084
2,1019.386947,1053064
3,1431.012427,1500308
4,1613.785607,1330387
5,1756.850695,1222050
6,1830.744115,1172725
7,1864.647961,1151402
8,1860.226014,1154139
9,1873.236461,1146123
10,1827.314564,1174926
11,1766.896435,1215102
12,1728.994090,1241739
13,1686.033296,1273379
14,1649.963874,1301216
15,1630.227737,1316969
16,1607.022373,1335986
17,1566.081114,1370912
18,1520.908023,1411630
19,1491.912729,1439065
20,1451.674218,1478954
