EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1001.349125,1055606
299,1020.073206,1416777
350,1057.297552,1876641
409,992.546453,1367187
478,1002.955512,1850641
559,1032.751369,1230480
654,1060.811122,1641410
765,1035.133343,1151815
895,1018.397498,1603672
1047,887.945051,1259350
1224,878.388224,1740828
1432,628.112882,1666880
1674,575.226282,1244153
1958,550.009668,1780768
2290,579.037685,1157218
2678,569.290483,1610083
3132,556.317066,1127058
3662,581.969844,1473132
4283,577.012442,1016378
5009,574.199829,1397147
5857,570.337770,1923409
6850,562.760804,1333287
8011,536.557557,1912759
9368,551.011687,1273613
10955,566.734873,1693465
12811,519.099089,1264271
14982,561.817743,1597674
17521,568.568675,1079607
20489,539.046066,1557259
23961,549.935507,1043820
28021,551.020576,1424746
32768,516.192024,2079867
