EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,980.655698,1077881
299,995.596098,1451609
350,1044.370920,1899869
409,1009.091219,1344771
478,997.460063,1860837
559,1027.661833,1236574
654,1074.960248,1619805
765,1046.106511,1139733
895,1023.883803,1595079
1047,890.420425,1255849
1224,869.583137,1758455
1432,636.243413,1645579
1674,580.574470,1232692
1958,559.234949,1751392
2290,580.336049,1154629
2678,571.408489,1604115
3132,559.291530,1121064
3662,582.472790,1471860
4283,583.109290,1005751
5009,574.251206,1397022
5857,570.439793,1923065
6850,583.626316,1285620
8011,524.642315,1956200
9368,515.608876,1361062
10955,552.193001,1738062
12811,506.763408,1295046
14982,552.916327,1623395
17521,552.810902,1110381
20489,527.961399,1589954
23961,559.962932,1025128
28021,562.082356,1396707
32768,508.492756,2111359
