EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1002.896784,1053977
299,1009.218658,1432015
350,1043.710041,1901072
409,988.611349,1372629
478,1003.161496,1850261
559,1036.492236,1226039
654,1067.646647,1630901
765,1029.468569,1158153
895,1014.309072,1610136
1047,891.656540,1254108
1224,875.521000,1746529
1432,646.710543,1618945
1674,583.593533,1226315
1958,555.688351,1762570
2290,575.405902,1164522
2678,572.429438,1601254
3132,557.981518,1123696
3662,583.038454,1470432
4283,579.972856,1011190
5009,572.760494,1400658
5857,571.476618,1919576
6850,565.401888,1327059
8011,538.155063,1907081
9368,552.399177,1270414
10955,568.392257,1688527
12811,519.429826,1263466
14982,563.070283,1594120
17521,565.503891,1085458
20489,538.165515,1559807
23961,549.157925,1045298
28021,551.337119,1423928
32768,521.504184,2058681
