EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1002.597140,1054292
299,1026.193672,1408327
350,1033.662526,1919551
409,1009.473308,1344262
478,1008.779880,1839956
559,1042.081559,1219463
654,1086.350190,1602822
765,1043.322750,1142774
895,1017.407797,1605232
1047,888.767232,1258185
1224,873.107932,1751356
1432,635.557485,1647355
1674,578.675583,1236737
1958,552.323463,1773308
2290,556.611016,1203844
2678,569.241339,1610222
3132,556.083691,1127531
3662,583.169331,1470102
4283,560.220350,1046843
5009,561.675423,1428301
5857,561.263460,1954506
6850,557.735571,1345300
8011,549.348095,1868224
9368,557.015639,1259885
10955,570.279536,1682939
12811,539.344931,1216813
14982,563.261439,1593579
17521,554.870213,1106260
20489,561.142091,1495939
23961,551.096494,1041621
28021,543.574754,1444262
32768,532.413235,2016499
