EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1000.958453,1056018
299,1009.291957,1431911
350,1058.893814,1873812
409,985.585581,1376843
478,990.676978,1873578
559,1032.011629,1231362
654,1071.349629,1625264
765,1038.935267,1147600
895,1020.933802,1599688
1047,890.838942,1255259
1224,862.913726,1772046
1432,631.795907,1657163
1674,573.369512,1248182
1958,557.830016,1755803
2290,544.549314,1230509
2678,543.055830,1687865
3132,527.217735,1189265
3662,553.128986,1549943
4283,537.224022,1091654
5009,544.510562,1473326
5857,543.266375,1009627
6850,542.492315,1383101
8011,529.179920,1939426
9368,540.979708,1297231
10955,551.201318,1741189
12811,527.663010,1243752
14982,544.746447,1647742
17521,537.226518,1142592
20489,221.568479,1894300
23961,525.866420,1091596
28021,399.771442,1963783
32768,522.391296,2055185
