EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1002.891075,1053983
299,1017.454124,1420424
350,1022.204765,1941067
409,1009.238315,1344575
478,1002.820043,1850891
559,1032.064433,1231299
654,1071.637771,1624827
765,1049.922122,1135591
895,1027.626885,1589269
1047,885.860797,1262313
1224,885.214866,1727403
1432,635.739251,1646884
1674,578.256643,1237633
1958,547.997722,1787306
2290,580.090876,1155117
2678,571.697881,1603303
3132,556.000848,1127699
3662,583.898956,1468265
4283,559.567691,1048064
5009,560.859050,1430380
5857,560.619803,1956750
6850,562.935179,1332874
8011,554.920096,1849465
9368,554.921280,1264640
10955,573.317582,1674021
12811,540.486924,1214242
14982,565.696279,1586720
17521,558.630742,1098813
20489,559.267571,1500953
23961,546.200921,1050957
28021,543.517552,1444414
32768,538.506520,1993682
