EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1002.153235,1054759
299,1026.497614,1407910
350,1053.380159,1883620
409,1010.358703,1343084
478,1002.279073,1851890
559,1045.851714,1215067
654,1068.704276,1629287
765,1039.451551,1147030
895,1023.569367,1595569
1047,888.806792,1258129
1224,876.605131,1744369
1432,633.075686,1653813
1674,576.324127,1241783
1958,562.507425,1741203
2290,551.740950,1214470
2678,548.478664,1671177
3132,529.548297,1184031
3662,554.776913,1545339
4283,540.968891,1084097
5009,542.870887,1477776
5857,544.836190,1006718
6850,544.854360,1377105
8011,528.697137,1941197
9368,539.947871,1299710
10955,549.668034,1746046
12811,526.580426,1246309
14982,543.834853,1650504
17521,237.705042,2582321
20489,539.735093,1555271
23961,529.673523,1083750
28021,531.263377,1477731
32768,519.170958,2067933
