EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1001.635684,1055304
299,1026.351087,1408111
350,1013.239911,1958241
409,1002.135439,1354105
478,1006.520624,1844086
559,1022.175563,1243211
654,1071.652281,1624805
765,1035.130647,1151818
895,1021.013584,1599563
1047,893.806765,1251091
1224,875.757673,1746057
1432,640.110342,1635638
1674,583.566885,1226371
1958,549.926597,1781037
2290,581.149920,1153012
2678,569.200688,1610337
3132,555.267187,1129189
3662,583.057884,1470383
4283,583.705328,1004724
5009,574.547729,1396301
5857,569.251302,1927080
6850,565.804798,1326114
8011,536.977255,1911264
9368,552.037211,1271247
10955,567.376472,1691550
12811,518.697021,1265251
14982,564.175191,1590998
17521,569.433158,1077968
20489,538.729524,1558174
23961,316.950432,1811115
28021,550.797125,1425324
32768,522.209873,2055899
