EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,962.548325,1098158
299,1027.527397,1406499
350,1045.224763,1898317
409,1008.878906,1345054
478,1003.303023,1850000
559,1031.792930,1231623
654,1075.375180,1619180
765,1040.425734,1145956
895,1026.359168,1591232
1047,887.067387,1260596
1224,871.421669,1754745
1432,619.514501,1690015
1674,584.536846,1224336
1958,560.908973,1746165
2290,585.359592,1144720
2678,572.870561,1600021
3132,559.992355,1119661
3662,544.984162,1573107
4283,447.672947,1310025
5009,561.065766,1429853
5857,561.063952,1955201
6850,560.388597,1338931
8011,549.933581,1866235
9368,557.532067,1258718
10955,569.616820,1684897
12811,541.884207,1211111
14982,563.467933,1592995
17521,558.036046,1099984
20489,561.684273,1494495
23961,548.113922,1047289
28021,546.744844,1435888
32768,533.749396,2011451
