EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1002.529626,1054363
299,993.778472,1454264
350,1057.745644,1875846
409,992.367895,1367433
478,997.034639,1861631
559,1040.355685,1221486
654,1064.300195,1636029
765,1040.806287,1145537
895,1023.710519,1595349
1047,890.236118,1256109
1224,888.522258,1720973
1432,632.755447,1654650
1674,572.028100,1251109
1958,558.893178,1752463
2290,551.980019,1213944
2678,554.541473,1652906
3132,528.347944,1186721
3662,555.583681,1543095
4283,540.410583,1085217
5009,545.370821,1471002
5857,542.828188,1010442
6850,542.739925,1382470
8011,529.603455,1937875
9368,539.841540,1299966
10955,551.081999,1741566
12811,522.985477,1254876
14982,544.464590,1648595
17521,541.777558,1132994
20489,540.691481,1552520
23961,529.328208,1084457
28021,532.173061,1475205
32768,523.386788,2051276
