EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,962.334504,1098402
299,1010.272660,1430521
350,1058.597219,1874337
409,1001.291727,1355246
478,1008.979487,1839592
559,1036.597076,1225915
654,1067.154587,1631653
765,1024.582540,1163676
895,1022.581118,1597111
1047,889.901017,1256582
1224,888.262124,1721477
1432,634.097489,1651148
1674,576.352904,1241721
1958,556.719306,1759306
2290,545.149173,1229155
2678,542.991489,1688065
3132,527.441260,1188761
3662,555.800152,1542494
4283,537.311633,1091476
5009,546.481242,1468013
5857,545.934330,1004693
6850,543.821691,1379720
8011,531.707925,1930205
9368,541.695856,1295516
10955,549.262547,1747335
12811,520.558316,1260727
14982,352.384934,2547219
17521,537.460771,1142094
20489,539.683390,1555420
23961,531.004771,1081033
28021,529.419386,1482878
32768,518.701152,2069806
