EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,982.108066,1076287
299,1010.223933,1430590
350,1022.685795,1940154
409,1001.443209,1355041
478,1009.839688,1838025
559,1022.824696,1242422
654,1075.003386,1619740
765,1029.229514,1158422
895,1024.410433,1594259
1047,889.003229,1257851
1224,858.635680,1780875
1432,637.772754,1641633
1674,582.281126,1229079
1958,554.702043,1765704
2290,544.260489,1231162
2678,540.058394,1697233
3132,527.522912,1188577
3662,554.453642,1546240
4283,536.607121,1092909
5009,543.709386,1475497
5857,544.627367,1007104
6850,541.345904,1386030
8011,332.860666,1541644
9368,540.485567,1298417
10955,549.903296,1745299
12811,521.767622,1257805
14982,544.100886,1649697
17521,537.567617,1141867
20489,539.188718,1556847
23961,527.112740,1089015
28021,527.840717,1487313
32768,516.196243,2079850
