EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1001.008693,1055965
299,1009.473138,1431654
350,1045.516665,1897787
409,1009.983461,1343583
478,1008.676817,1840144
559,1049.921555,1210357
654,1087.060961,1601774
765,1027.770044,1160067
895,1019.821343,1601433
1047,892.076221,1253518
1224,877.295151,1742997
1432,640.875959,1633684
1674,581.833299,1230025
1958,560.996359,1745893
2290,586.469289,1142554
2678,570.477440,1606733
3132,556.197640,1127300
3662,581.111076,1475309
4283,580.651591,1010008
5009,574.675315,1395991
5857,569.572579,1925993
6850,561.198793,1336998
8011,538.789887,1904834
9368,552.400047,1270412
10955,569.218174,1686077
12811,520.985195,1259694
14982,563.997944,1591498
17521,567.947388,1080788
20489,537.647104,1561311
23961,546.694579,1050008
28021,555.677397,1412806
32768,516.298765,2079437
