EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1002.497298,1054397
299,1026.512196,1407890
350,1058.037813,1875328
409,993.285322,1366170
478,1002.603368,1851291
559,1036.559872,1225959
654,1084.213990,1605980
765,1041.510000,1144763
895,1023.753513,1595282
1047,890.245332,1256096
1224,883.375399,1731000
1432,634.840312,1649216
1674,578.985970,1236074
1958,559.423724,1750801
2290,586.028698,1143413
2678,571.830915,1602930
3132,558.395459,1122863
3662,582.634692,1471451
4283,584.540199,1003289
5009,573.894633,1397890
5857,568.390641,1929998
6850,583.582284,1285717
8011,523.828268,1959240
9368,516.332315,1359155
10955,552.746046,1736323
12811,508.837978,1289766
14982,553.178707,1622625
17521,554.014847,1107968
20489,529.941571,1584013
23961,561.258868,1022761
28021,559.581539,1402949
32768,508.163023,2112729
