EdgeSize,MegaUpdatesPerSecond,ActualRuntime
256,1002.076281,1054840
299,986.736865,1464642
350,1021.782064,1941870
409,1001.072344,1355543
478,1003.634493,1849389
559,1051.258257,1208818
654,1075.014005,1619724
765,1038.109374,1148513
895,1023.634805,1595467
1047,887.649720,1259769
1224,869.042474,1759549
1432,640.028169,1635848
1674,579.951090,1234017
1958,558.112282,1754915
2290,582.710537,1149924
2678,574.226795,1596242
3132,555.646085,1128419
3662,582.728549,1471214
4283,557.785335,1051413
5009,562.250545,1426840
5857,560.198098,1958223
6850,557.675464,1345445
8011,549.874652,1866435
9368,555.052512,1264341
10955,568.681898,1687667
12811,545.892612,1202218
14982,561.172508,1599511
17521,558.873352,1098336
20489,559.823682,1499462
23961,548.417117,1046710
28021,267.178278,2938354
32768,534.321584,2009297
