EdgeSize,Mean
8,30.987665
9,41.311896
11,64.234384
14,103.653368
17,145.923292
20,188.149033
25,251.632823
30,304.234333
36,352.349194
44,372.327126
53,409.039640
64,434.795158
78,464.477165
94,482.338683
114,495.872199
138,438.968734
167,434.637589
202,443.186914
244,444.928657
296,452.975609
358,454.095390
432,454.711711
523,456.300997
633,459.982866
765,461.313524
925,464.464823
1119,462.450794
1354,456.310427
1637,450.865192
1980,451.031417
2394,450.704378
2896,450.402037
