EdgeSize,MegaUpdatesPerSecond,ActualRuntime
8,30.906500,1221385
8,31.499936,1198375
8,30.823296,1224682
8,31.128229,1212685
8,31.121094,1212963
8,31.076515,1214703
8,30.756744,1227332
8,30.970933,1218844
8,31.140580,1212204
8,30.968494,1218940
8,30.760027,1227201
8,30.921463,1220794
8,30.725251,1228590
8,31.090516,1214156
8,31.100147,1213780
8,30.791692,1225939
8,31.054963,1215546
8,31.061300,1215298
8,30.946127,1219821
8,30.909487,1221267
9,41.289387,1244393
9,41.026655,1252362
9,41.279999,1244676
9,41.574604,1235856
9,41.167313,1248083
9,41.177574,1247772
9,41.343076,1242777
9,41.101976,1250067
9,41.104409,1249993
9,41.079860,1250740
9,41.350795,1242545
9,41.202075,1247030
9,41.161179,1248269
9,41.317477,1243547
9,41.310534,1243756
9,41.643074,1233824
9,41.820685,1228584
9,41.146049,1248728
9,41.595539,1235234
9,41.545660,1236717
11,64.139917,1324209
11,64.157892,1323838
11,64.256327,1321810
11,63.872890,1329745
11,64.229747,1322357
11,64.193630,1323101
11,64.125535,1324506
11,64.402350,1318813
11,64.664033,1313476
11,64.124180,1324534
11,63.717017,1332998
11,64.333763,1320219
11,64.532166,1316160
11,64.780774,1311109
11,64.164823,1323695
11,64.058213,1325898
11,64.091276,1325214
11,64.245489,1322033
11,64.443738,1317966
11,64.153919,1323920
14,103.667938,1456525
14,103.709592,1455940
14,103.409933,1460159
14,103.625180,1457126
14,103.932099,1452823
14,103.722345,1455761
14,103.461658,1459429
14,103.847181,1454011
14,103.601290,1457462
14,103.700974,1456061
14,103.878759,1453569
14,103.548076,1458211
14,103.260151,1462277
14,103.535012,1458395
14,103.721490,1455773
14,103.495413,1458953
14,104.317756,1447452
14,103.833113,1454208
14,103.073639,1464923
14,103.725765,1455713
17,145.895015,1617119
17,145.066572,1626354
17,146.081646,1615053
17,145.978876,1616190
17,145.928855,1616744
17,146.481168,1610648
17,145.808365,1618080
17,146.248354,1613212
17,145.975263,1616230
17,145.979779,1616180
17,145.231060,1624512
17,145.797643,1618199
17,145.824587,1617900
17,145.466653,1621881
17,146.702499,1608218
17,145.836035,1617773
17,146.196970,1613779
17,145.825308,1617892
17,146.309936,1612533
17,145.831258,1617826
