EdgeSize,Mean
8,30.547955
9,40.439713
11,62.924275
14,102.451079
17,143.153085
20,185.845655
25,248.468277
30,302.634306
36,351.360537
44,397.009002
53,432.101936
64,453.690764
78,473.583216
94,497.705753
114,518.978296
138,447.869964
167,455.288195
202,461.925648
244,467.114256
296,472.458320
358,474.024240
432,479.759009
523,479.070355
633,480.487735
765,483.945879
925,486.688327
1119,483.213697
1354,475.118625
1637,467.962196
1980,466.031651
2394,465.891285
2896,467.213453
