EdgeSize,Mean
8,30.199850
9,40.018428
11,62.587541
14,102.138423
17,143.119817
20,184.737257
25,250.779504
30,312.217427
36,363.558087
44,417.985275
53,457.295855
64,466.114824
78,531.804091
94,549.193306
114,558.648694
138,452.744469
167,458.604921
202,463.325286
244,470.631793
296,476.595044
358,476.654879
432,480.984812
523,480.547651
633,481.554649
765,487.472374
925,487.196686
1119,484.066873
1354,477.869177
1637,469.349519
1980,465.117541
2394,468.592746
2896,470.148853
