EdgeSize,MegaUpdatesPerSecond,ActualRuntime
8,363.351401,1662247
9,381.727062,1076795
11,421.566336,1611792
14,456.836765,1322091
17,464.419661,1016019
20,490.518312,1385223
25,486.725916,1139649
30,500.449314,1642691
36,516.997706,1172301
44,522.249628,1770885
53,503.578364,1353983
64,521.942517,1930637
78,524.464880,1443513
94,526.363104,1053829
114,529.982951,1551151
138,524.002428,1156630
167,529.437340,1685013
202,522.518127,1254234
244,535.959702,1790270
296,537.515932,1317326
358,535.265228,1939639
432,538.710836,1405857
523,539.873156,1029707
633,537.428798,1517287
765,540.301932,1103348
925,541.879648,1609906
1119,538.937161,1185327
1354,525.922132,1779516
1637,516.049869,1326123
1980,507.209075,1974720
2394,508.606484,1439960
2896,508.352589,1054416
